num_season,tribe,iter_num,num_contestants,merge,african_american,asian_american,latin_american,poc,jewish,muslim,lgbt,male,female,non_binary,color
25,Tandang,1,6,0,1,0,1,2,0,0,0,3,3,0,Yellow/Gold
25,Kalabaw,2,7,0,1,0,0,1,1,0,1,3,4,0,Red
25,Tandang,2,7,0,1,0,1,2,0,0,0,4,3,0,Yellow/Gold
25,Dangrayne,0,11,1,1,0,1,2,1,0,0,7,4,0,Black
26,Bikal,1,9,0,2,1,1,3,2,0,0,5,4,0,Purple
26,Gota,1,11,0,1,0,0,1,0,0,1,5,6,0,Orange
26,Bikal,2,6,0,1,0,0,1,2,0,1,4,2,0,Purple
26,Gota,2,8,0,0,1,1,1,0,0,0,4,4,0,Orange
26,Enil Edam,0,12,1,1,1,1,2,2,0,1,7,5,0,Green
27,Galang,1,10,0,1,0,0,1,0,0,1,5,5,0,Yellow/Gold
27,Tadhana,1,10,0,1,0,0,1,0,0,1,5,5,0,Red
27,Galang,2,9,0,1,0,0,1,0,0,1,4,5,0,Yellow/Gold
27,Tadhana,2,9,0,1,0,0,1,0,0,1,5,4,0,Red
27,Galang,3,6,0,0,0,0,0,0,0,0,1,5,0,Yellow/Gold
27,Tadhana,3,6,0,1,0,0,1,0,0,1,5,1,0,Red
27,Kasama,0,11,1,1,0,0,1,0,0,1,6,5,0,Purple
28,Luzon,1,6,0,2,0,0,2,2,0,0,3,3,0,Green
28,Solana,1,6,0,1,0,1,2,0,0,1,3,3,0,Purple
28,Aparri,1,6,0,1,1,0,2,0,0,0,3,3,0,Orange
28,Solana,2,7,0,1,1,0,2,0,0,0,4,3,0,Purple
28,Aparri,2,7,0,1,0,1,2,0,0,0,2,5,0,Orange
28,Solarrion,0,11,1,1,1,0,2,0,0,0,5,6,0,Black
29,Coyopa,1,9,0,1,1,0,2,0,0,1,5,4,0,Orange
29,Hunahpu,1,9,0,1,1,0,2,0,0,1,5,4,0,Blue/Teal
29,Coyopa,2,7,0,0,0,0,0,0,0,0,3,4,0,Orange
29,Hunahpu,2,7,0,1,1,0,2,0,0,2,5,2,0,Blue/Teal
29,Huyopa,0,12,1,1,1,0,2,0,0,2,7,5,0,Green
30,Masaya,1,5,0,0,2,1,3,1,0,0,3,2,0,Yellow/Gold
30,Nagarote,1,7,0,1,1,0,2,0,0,0,3,4,0,Red
30,Escameca,1,6,0,0,0,0,0,0,0,1,2,4,0,Blue/Teal
30,Nagarote,2,7,0,1,1,0,2,1,0,1,2,5,0,Red
30,Escameca,2,7,0,0,0,1,1,0,0,0,5,2,0,Blue/Teal
30,Merica,0,12,1,1,1,0,2,0,0,1,5,7,0,Black
31,Ta Keo,1,9,0,0,3,1,4,0,0,1,4,5,0,Green
31,Bayon,1,11,0,2,0,1,3,1,0,0,6,5,0,Magenta
31,Angkor,2,7,0,1,2,1,4,0,0,1,4,3,0,Yellow/Gold
31,Bayon,2,5,0,1,0,1,2,1,0,0,2,3,0,Magenta
31,Ta Keo,2,6,0,0,0,0,0,0,0,0,3,3,0,Green
31,Ta Keo,3,6,0,0,1,1,2,0,0,0,2,4,0,Green
31,Bayon,3,8,0,2,0,0,2,1,0,0,5,3,0,Magenta
31,Orkun,0,13,1,2,0,1,3,1,0,0,6,7,0,Orange
32,To Tang,1,6,0,2,0,0,2,0,0,0,3,3,0,Red
32,Chan Loh,1,6,0,1,0,0,1,0,0,0,3,3,0,Blue/Teal
32,Gondol,1,6,0,0,1,0,1,0,0,1,3,3,0,Yellow/Gold
32,Gondol,2,7,0,1,1,0,2,0,0,1,4,3,0,Yellow/Gold
32,Chan Loh,2,6,0,1,0,0,1,0,0,0,3,3,0,Blue/Teal
32,Dara,0,11,1,1,1,0,2,0,0,1,6,5,0,Black
